task_id,episode_id,policy_family,success_label,final_prefix_failure_label,final_prefix_recoverability_label,max_abs_gap,max_judge_metric,max_baseline_metric,cutoff_0p25_baseline_delta,cutoff_0p25_baseline_metric,cutoff_0p25_gap,cutoff_0p25_judge_delta,cutoff_0p25_judge_metric,cutoff_0p25_sparse_reward_signal,cutoff_0p5_baseline_delta,cutoff_0p5_baseline_metric,cutoff_0p5_gap,cutoff_0p5_judge_delta,cutoff_0p5_judge_metric,cutoff_0p5_sparse_reward_signal,cutoff_0p75_baseline_delta,cutoff_0p75_baseline_metric,cutoff_0p75_gap,cutoff_0p75_judge_delta,cutoff_0p75_judge_metric,cutoff_0p75_sparse_reward_signal
pick-place-v3,pick-place-v3-expert-ep-0,expert,False,True,doomed,0.82175,0.546312,1.0,,1.0,-0.82175,,0.17825,0.0,0.0,1.0,-0.677927,0.143823,0.322073,0.0,0.0,1.0,-0.453688,0.224239,0.546312,0.0
pick-place-v3,pick-place-v3-misleading-ep-0,misleading,False,True,doomed,0.732562,0.419756,1.0,,1.0,-0.732562,,0.267438,0.0,0.0,1.0,-0.720335,0.012227,0.279665,0.0,0.0,1.0,-0.580244,0.140091,0.419756,0.0
push-v3,push-v3-expert-ep-0,expert,False,True,doomed,0.778653,0.489028,0.999891,,0.999891,-0.735428,,0.264463,0.0,-5e-06,0.999886,-0.778653,-0.04323,0.221233,0.0,0.0,0.999886,-0.510858,0.267795,0.489028,0.0
push-v3,push-v3-misleading-ep-0,misleading,False,True,doomed,0.75126,0.335691,0.999888,,0.999888,-0.75126,,0.248628,0.0,0.0,0.999888,-0.717505,0.033755,0.282383,0.0,0.0,0.999888,-0.664197,0.053308,0.335691,0.0
reach-v3,reach-v3-expert-ep-0,expert,False,True,doomed,0.765333,0.562935,1.0,,1.0,-0.765333,,0.234667,0.0,0.0,1.0,-0.584727,0.180606,0.415273,0.0,0.0,1.0,-0.437065,0.147662,0.562935,0.0
reach-v3,reach-v3-misleading-ep-0,misleading,False,True,doomed,0.752951,0.574706,1.0,,1.0,-0.752951,,0.247049,0.0,0.0,1.0,-0.573152,0.179799,0.426848,0.0,0.0,1.0,-0.425294,0.147858,0.574706,0.0
